year,bloom_start,bloom_end,duration_days,threshold
2015,2015-07-01,2015-10-01,92,0.10499331508839625
2016,,,0,0.10499331508839625
2017,2017-05-01,2017-12-01,214,0.10499331508839625
2018,2018-01-01,2018-06-01,151,0.10499331508839625
2019,,,0,0.10499331508839625
2020,,,0,0.10499331508839625
2021,,,0,0.10499331508839625
2022,2022-07-01,2022-12-01,153,0.10499331508839625
2023,2023-01-01,2023-07-01,181,0.10499331508839625
2024,,,0,0.10499331508839625
