date,NDVI,LST_C,precip_mm,soil_moisture,s2_ndvi
2015-01-01,0.0781010033491883,39.103178664209146,0.0639018424858473,,
2015-02-01,0.0779034634562941,42.44853278867944,0.0980676198518007,,
2015-03-01,0.0798203042486723,37.62931277600472,5.563442094064545,,
2015-04-01,0.091295481027448,32.62307138248775,0.1044145701585597,,
2015-05-01,0.0983083167131747,28.200563878768108,0.5434570119631983,,
2015-06-01,0.0969819039795238,24.250418606835836,1.9913954062407035,,
2015-07-01,0.1053640112888724,23.157153132164236,26.18625660159736,,
2015-08-01,0.1349353867711578,27.22928551155208,23.332136090738373,,
2015-09-01,0.1273986015154067,36.09603492137509,1.0401044760751317,,
2015-10-01,0.1087917193508596,40.97699306808284,5.149633884625409,,
2015-11-01,0.0958150267067853,42.77632098873178,2.699929593250568,,
2015-12-01,0.0919404014904221,42.121992464872,1.3644694315423738,,
2016-01-01,0.0892362890323789,44.46163386201298,10.2687736807048,,
2016-02-01,0.0849914212900612,37.71329867468736,17.034148652938526,,
2016-03-01,0.0869323954209927,38.506382947779166,0.2680381278597006,,
2016-04-01,0.0861581014583436,32.17032432236545,26.466697460185603,,
2016-05-01,0.0888653093047136,28.1925105776472,10.835538375270287,,
2016-06-01,0.0880235283162838,23.4520202461808,10.947928919949607,,
2016-07-01,0.0880173507205422,24.952910182150667,7.625684764968287,,
2016-08-01,0.0882123674714381,30.17003921347037,3.1732412056935173,,
2016-09-01,0.0833243160463647,33.75960848519694,0.2832632886644343,,
2016-10-01,0.0816306125942916,41.51214253561211,0.3090207670681443,,
2016-11-01,0.0804655803936588,43.71072841637857,14.976583695193051,,
2016-12-01,0.0808249935264002,44.89529058547703,0.0297172706974885,,
2017-01-01,0.0811883927599522,43.85938210709877,0.2821198421388313,,
2017-02-01,0.0812467617423198,43.010446819457954,0.1242950053105364,,
2017-03-01,0.084210898201125,38.16959095870463,5.268405927526777,,
2017-04-01,0.0849365241400698,33.576101307942224,1.2528808685470625,,
2017-05-01,0.106949493025991,26.025811466345964,70.16393318545133,,
2017-06-01,0.1519819585033463,22.803331573769903,16.66939635243573,,
2017-07-01,0.2045682297373639,21.909416165079683,5.373581762971435,,
2017-08-01,0.2104146027825916,26.962375026882317,12.012478274417,,
2017-09-01,0.1599557347799334,34.182280508757025,0.5512074379167985,,
2017-10-01,0.1338871947236897,37.62032559033681,0.2405545082277095,,
2017-11-01,0.1183824441398811,42.68413033215701,0.898190874367128,,
2017-12-01,0.1051970427114185,43.08748953202761,15.044125754516262,,
2018-01-01,0.1026852563132979,41.74177850624032,9.328600871639644,,
2018-02-01,0.1018397952488425,41.71347087493235,0.1492943550874461,,0.0474102194155695
2018-03-01,0.1028887049093459,37.16789493021595,0.032630728609007,,
2018-04-01,0.1021558934906906,32.93309686473517,14.857225822676988,,
2018-05-01,0.1015297842085127,27.71303140798328,4.4559396865981045,,
2018-06-01,0.1008145756781667,23.46205973360497,11.82281211555401,,
2018-07-01,0.0984752456759027,24.199765491669314,17.188041896015537,,
2018-08-01,0.0918940906458543,29.595514622258975,2.501494963971647,,
2018-09-01,0.0875284968631564,34.79612551028541,0.5884245055149125,,
2018-10-01,0.0850050283558367,38.94517839612367,1.189953318673905,,
2018-11-01,0.0830315695040092,42.481973040530654,0.0704868849560923,,
2018-12-01,0.0824674649866384,43.40368388940796,8.676860263040627,,0.0582122509617937
2019-01-01,0.0823863511281149,42.455020714211216,0.065941264064035,,0.0323745043880153
2019-02-01,0.0839038294573365,42.01727016595693,0.0542968306692885,,0.0307819519278873
2019-03-01,0.0849419192403557,38.062299377572366,16.44394502450632,,0.0295915586146891
2019-04-01,0.0894458657841941,32.124722693000365,17.889007347541224,,0.0451214820480738
2019-05-01,0.0906207804912069,27.59479773602829,5.760391889628951,,0.0630723395411173
2019-06-01,0.0902437410114092,25.013537766956613,2.315353167387601,,0.0772747994410814
2019-07-01,0.0910200745650164,24.337833960624906,8.792913110100823,,0.0744362437212098
2019-08-01,0.0866108646140034,29.92064832378236,1.446434737805211,,0.0661904740967014
2019-09-01,0.0835460741272086,34.2785424972736,1.257016119809651,,0.0593440992584547
2019-10-01,0.0823059918861598,40.39676594133556,2.4531315167053647,,0.0589781403730825
2019-11-01,0.0822764342583865,43.13043336046599,3.189108638106734,,0.0409539212876085
2019-12-01,0.0767222086389862,41.94345530270294,0.3497120646459355,,0.0370526269604807
2020-01-01,0.0790881480785856,44.22902101271701,0.6535857237771888,,0.0292944630251855
2020-02-01,0.0807952847780124,40.90527957032328,10.233771472235208,,0.0429128802237109
2020-03-01,0.0841921531816605,37.86272048069946,0.9451257486559862,,0.0412764189127207
2020-04-01,0.086216937923212,33.14539820734353,2.9539643335032757,,0.0447447374472622
2020-05-01,0.0866201701862394,26.246353917721688,3.7313626752643594,,0.0458585894278557
2020-06-01,0.0953153182309514,24.463455427490462,7.979397367622334,,0.0674282240184984
2020-07-01,0.0920674652773281,24.50932674999089,5.728732283403053,,0.0629619521755656
2020-08-01,0.0915617585352174,28.73128613363815,2.943854940843167,,0.0707676322207448
2020-09-01,0.0849074724124554,33.86233273775214,0.3597650624789281,,0.0515044457710669
2020-10-01,0.0816293267315945,39.51511368684863,0.3407774583036959,,0.0602270596781544
2020-11-01,0.0810852622530658,43.37571549145457,6.001441356413687,,0.0570399108943778
2020-12-01,0.0796685761950526,41.85777141267205,2.175964571127853,,0.0419624565812702
2021-01-01,0.0790489852739738,43.55293666858838,0.054967239263982,,0.0385805035652031
2021-02-01,0.0815165772017092,41.502883266551066,0.1214003451474885,,0.0300453230368123
