date,ssm
2015-04-01,7.1058562470440885
2015-05-01,5.56449647381078
2015-06-01,4.6407418905191085
2015-07-01,7.540478490225634
2015-08-01,7.673300628087029
2015-09-01,3.3507498448817574
2015-10-01,3.500492385164577
2015-11-01,2.828038545349734
2015-12-01,3.396527280519955
2016-01-01,3.287205819508538
2016-02-01,3.3696989275103233
2016-03-01,4.163100931033417
2016-04-01,4.7343195555797175
2016-05-01,3.9667983709268233
2016-06-01,4.960283477821542
2016-07-01,4.266564033498716
2016-08-01,3.7324476723694917
2016-09-01,3.0054587507966777
2016-10-01,3.426506875627604
2016-11-01,3.2021417993996013
2016-12-01,2.4516230973766078
2017-01-01,3.1723585349231507
2017-02-01,3.4485254671106387
2017-03-01,3.8067053579205843
2017-04-01,3.588961839675903
2017-05-01,12.030360730808583
2017-06-01,8.30185966012466
2017-07-01,6.831133778250995
2017-08-01,5.998007246237903
2017-09-01,3.517480016593358
2017-10-01,3.5513575989996364
2017-11-01,2.9951103895752875
2017-12-01,3.1166719271310006
2018-01-01,2.97164362423384
2018-02-01,3.122783756256103
2018-03-01,3.826273904972939
2018-04-01,3.9170049053939744
2018-05-01,3.773693792304801
2018-06-01,4.865634956072323
2018-07-01,4.601242634519259
2018-08-01,3.321719301885096
2018-09-01,3.609742459579928
2018-10-01,3.418960771608592
2018-11-01,3.6027878296435176
2018-12-01,2.913343801929723
2019-01-01,3.272907743981136
2019-02-01,3.209711099030384
2019-03-01,3.6729943179604994
2019-04-01,3.074373402427788
2019-05-01,3.266526579737064
2019-06-01,4.842164390410611
2019-07-01,4.563008512084807
2019-08-01,4.070954278006625
2019-09-01,3.9706837507947603
2019-10-01,4.314427019004246
2019-11-01,3.223999427910426
2019-12-01,2.836718230750692
2020-01-01,3.0242220890581906
2020-02-01,2.5788156006204423
2020-03-01,3.1886296329785835
2020-04-01,3.451404980319229
2020-05-01,3.798583505141675
2020-06-01,5.716298771623391
2020-07-01,4.1733585149199515
2020-08-01,4.653596028371072
2020-09-01,4.691612096527713
2020-10-01,3.3289850342812843
2020-11-01,3.222968564440856
2020-12-01,3.374706831409703
2021-01-01,3.6606869433992473
2021-02-01,3.3387455789288087
2021-03-01,3.239765732731651
2021-04-01,3.601968445130928
2021-05-01,4.710034250374416
2021-06-01,4.084810819577931
2021-07-01,3.5895031059207625
2021-08-01,3.5645987872502314
2021-09-01,3.4421149035794047
2021-10-01,3.258135752941495
2021-11-01,2.939026390248207
2021-12-01,4.532723753895591
2022-01-01,2.8060660379016817
2022-02-01,3.0503399067787673
2022-03-01,3.118015540185285
2022-04-01,4.286596682323283
2022-05-01,5.271210532931225
2022-06-01,5.274770352588825
2022-07-01,15.464483117338402
2022-08-01,12.847928133442176
